phase,cycle,character,corpus_size,drift_from_baseline,coverage,stability,taught_count,evolved_count
baseline,0,knight,6,0.000000,0.8500,0.7778,0,0
baseline,0,merchant,6,-0.000000,0.8000,1.0000,0,0
baseline,0,healer,6,-0.000000,0.8500,1.0000,0,0
baseline,0,rogue,6,0.000000,0.9500,0.7778,0,0
teach,1,knight,8,0.012972,0.8500,0.7778,2,0
teach,1,merchant,8,0.014134,0.8000,0.7778,2,0
teach,1,healer,8,0.010189,0.8500,0.7778,2,0
teach,1,rogue,8,0.014769,0.9500,0.7778,2,0
teach,2,knight,10,0.022070,0.8500,0.6667,4,0
teach,2,merchant,10,0.026291,0.8000,0.7778,4,0
teach,2,healer,10,0.019362,0.8500,0.7778,4,0
teach,2,rogue,10,0.023887,0.9500,0.6667,4,0
teach,3,knight,12,0.029142,0.8500,0.6667,6,0
teach,3,merchant,12,0.031876,0.8000,0.7778,6,0
teach,3,healer,12,0.023272,0.8500,0.7778,6,0
teach,3,rogue,12,0.028244,0.9500,0.6667,6,0
teach,4,knight,14,0.032487,0.8500,0.6667,8,0
teach,4,merchant,14,0.038936,0.8000,0.7778,8,0
teach,4,healer,14,0.027639,0.8500,0.6667,8,0
teach,4,rogue,14,0.031052,0.9500,0.4286,8,0
teach,5,knight,16,0.036417,0.8500,0.6667,10,0
teach,5,merchant,16,0.042451,0.8000,0.7778,10,0
teach,5,healer,16,0.034480,0.8500,0.6667,10,0
teach,5,rogue,16,0.036822,0.9500,0.4286,10,0
evolve,1,knight,19,0.038696,0.8500,0.6667,10,3
evolve,1,merchant,19,0.043934,0.8000,0.7778,10,3
evolve,1,healer,19,0.042821,0.8500,0.6667,10,3
evolve,1,rogue,19,0.045712,0.9500,0.4286,10,3
evolve,2,knight,21,0.048970,0.8500,0.6667,10,5
evolve,2,merchant,21,0.051574,0.8000,0.7778,10,5
evolve,2,healer,19,0.042821,0.8500,0.6667,10,3
evolve,2,rogue,22,0.061529,0.9500,0.4286,10,6
evolve,3,knight,21,0.048970,0.8500,0.6667,10,5
evolve,3,merchant,21,0.051574,0.8000,0.7778,10,5
evolve,3,healer,19,0.042821,0.8500,0.6667,10,3
evolve,3,rogue,22,0.061529,0.9500,0.4286,10,6
evolve,4,knight,21,0.048970,0.8500,0.6667,10,5
evolve,4,merchant,21,0.051574,0.8000,0.7778,10,5
evolve,4,healer,19,0.042821,0.8500,0.6667,10,3
evolve,4,rogue,22,0.061529,0.9500,0.4286,10,6
evolve,5,knight,21,0.048970,0.8500,0.6667,10,5
evolve,5,merchant,21,0.051574,0.8000,0.7778,10,5
evolve,5,healer,19,0.042821,0.8500,0.6667,10,3
evolve,5,rogue,22,0.061529,0.9500,0.4286,10,6
